epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4035,0.47823,2.65133,0.94166,0.01009,1,0.37574,0.34229,0.36569,2.74953,0.86985,0.000275,0.000275,0.000275
2,18.8408,0.42485,1.56278,0.91119,0.80601,0.54571,0.69988,0.64905,0.34693,1.81755,0.87816,0.000551362,0.000551362,0.000551362
3,26.5052,0.41458,1.0765,0.89316,0.55359,0.71775,0.7698,0.65859,0.47363,2.10183,1.11789,0.00081634,0.00081634,0.00081634
4,35.3264,0.40226,0.95339,0.89192,0.52227,0.64036,0.70399,0.59635,0.54609,2.05058,1.09061,0.00106993,0.00106993,0.00106993
5,42.7066,0.38698,0.89531,0.88417,0.83294,0.91436,0.9416,0.85084,0.39413,1.07976,0.88102,0.001151,0.001151,0.001151
6,51.2758,0.37602,0.84402,0.87576,0.9176,0.94546,0.98488,0.93167,0.34481,0.81242,0.87724,0.00112625,0.00112625,0.00112625
7,58.4335,0.36136,0.76549,0.86989,0.94261,0.98466,0.98765,0.91668,0.35859,0.67401,0.90211,0.0011015,0.0011015,0.0011015
8,67.0826,0.35914,0.71324,0.86984,0.96242,0.97153,0.98655,0.95431,0.27807,0.58159,0.82673,0.00107675,0.00107675,0.00107675
9,74.3704,0.36574,0.7083,0.87552,0.84749,0.94265,0.94917,0.90231,0.31089,0.7127,0.85315,0.001052,0.001052,0.001052
10,82.9614,0.36145,0.65663,0.87434,0.82316,0.77285,0.88113,0.83543,0.31984,1.03447,0.84096,0.00102725,0.00102725,0.00102725
11,90.7501,0.36168,0.70414,0.8696,0.94234,0.96334,0.98177,0.93951,0.30535,0.57213,0.84222,0.0010025,0.0010025,0.0010025
12,98.9555,0.37027,0.68956,0.8698,0.91382,0.96816,0.95484,0.90907,0.30792,0.57816,0.87882,0.00097775,0.00097775,0.00097775
13,107.567,0.34988,0.63321,0.87072,0.97044,0.98805,0.994,0.97928,0.25908,0.40124,0.82242,0.000953,0.000953,0.000953
14,114.321,0.34667,0.62066,0.86836,0.94393,0.93695,0.98204,0.9567,0.26716,0.42748,0.82527,0.00092825,0.00092825,0.00092825
15,123.056,0.33349,0.57802,0.86491,0.87712,0.94986,0.94941,0.92654,0.26731,0.52979,0.83297,0.0009035,0.0009035,0.0009035
16,129.883,0.33315,0.54065,0.86576,0.96622,0.98169,0.97557,0.94569,0.28009,0.41339,0.83394,0.00087875,0.00087875,0.00087875
17,138.5,0.31468,0.51025,0.86244,0.94552,0.95833,0.96827,0.93614,0.29587,0.49484,0.83043,0.000854,0.000854,0.000854
18,145.544,0.31206,0.51842,0.85748,0.9091,0.95115,0.97537,0.95082,0.278,0.51448,0.83326,0.00082925,0.00082925,0.00082925
19,154.398,0.31536,0.49267,0.85465,0.96401,0.9867,0.99113,0.96541,0.25164,0.37738,0.81994,0.0008045,0.0008045,0.0008045
20,161.683,0.31372,0.48559,0.86126,0.93186,0.94602,0.98292,0.95561,0.25759,0.47446,0.82048,0.00077975,0.00077975,0.00077975
21,169.698,0.30274,0.46655,0.85276,0.96357,1,0.99459,0.96952,0.23478,0.31528,0.80466,0.000755,0.000755,0.000755
22,177.335,0.3018,0.47451,0.86092,0.95511,0.97524,0.98804,0.96791,0.23339,0.37043,0.81268,0.00073025,0.00073025,0.00073025
23,185.353,0.29642,0.47526,0.85553,0.97859,0.99457,0.99419,0.97277,0.26055,0.30389,0.8123,0.0007055,0.0007055,0.0007055
